,player,team,games,ADP,age,rushGrade
0,Damien Harris,NE,15,89.0,25.0,84.7
1,Rhamondre Stevenson,NE,12,93.0,24.0,81.4
2,Tony Pollard,DAL,15,95.0,25.0,90.3
3,A.J. Dillon,GB,17,97.0,24.0,89.7
4,Rashaad Penny,SEA,10,106.0,26.0,83.7
