,player,team,ADP,age
0,Tee Higgins,CIN,30.0,23.0
1,Michael Pittman Jr.,IND,31.0,25.0
2,A.J. Brown,PHI,34.0,25.0
3,Jaylen Waddle,MIA,44.0,24.0
4,Amon-Ra St. Brown,DET,58.0,23.0
5,DeVonta Smith,PHI,85.0,24.0
