,player,team,ADP,age
0,Josh Allen,BUF,22.0,26.0
1,Justin Herbert,LAC,36.0,24.0
2,Lamar Jackson,BLT,42.0,25.0
3,Jalen Hurts,PHI,56.0,24.0
4,Joe Burrow,CIN,74.0,26.0
5,Trey Lance,SF,104.0,22.0
6,Justin Fields,CHI,149.0,23.0
