"Ovr","Name","Team","FIN_W1","FIN_W2","FIN_W3","FIN_W4","FIN_W5","FIN_W6","FIN_W7","FIN_W8","FIN_W9","FIN_W10","FIN_W11","FIN_W12","FIN_W13","FIN_W14","FIN_W15","FIN_W16","FIN_W17","FIN_W18"
"230","Josh Jacobs","LV","17","","","10.7","16.7","15.2","15.8","","13.5","8.6","11.1","19.2","24","12","12.4","13.4","18","22.4"
"1.4","Devine Ozigbo","NE","","","","","0","","1.4","","","","","","","","","","",""
"7.1","Christian Wilkins","MIA","","","","","0","","","","","0","0","","","","7.1","0","","0"
"55.9","Jaret Patterson","WAS","0.9","","","2.2","1.3","1.3","0","4.6","","0.7","2.3","0","0.2","4.8","8","3.3","20.8","5.5"
"9.1","Deon Jackson","IND","","","","","","","","","","","1.2","","7.9","","","","0",""
"150.6","Saquon Barkley","NYG","3.7","8.9","21.4","29.6","0.9","","","","","","11.6","9.3","13.4","18.5","11.4","3.8","10.2","7.9"
"300.7","Najee Harris","PIT","5.9","19.1","28.2","21.1","22.2","24.7","","21","16.8","17.3","16.9","6.7","15.7","25.4","4.6","16","29.6","9.5"
"59.1","Giovani Bernard","TB","3.2","3.6","20.1","","11.5","2.4","2.5","10.7","","1.8","1.3","0","2","0","","","",""
"51.5","JaMycal Hasty","SF","8.8","9.9","","","","","4.6","5.3","4.3","","","","0","4","2.6","5.9","1.6","4.5"
"104.3","Rex Burkhead","HST","1.6","0","1.5","-0.1","","0","0","13.8","0.9","","4","8.4","5.5","10.6","5.7","28.9","13.9","9.6"
"199","David Montgomery","CHI","18.8","10.9","7.5","22.6","","","","","10","","7.7","10.4","28.1","14.1","13.3","23.6","22.1","9.9"
"14.7","Michael Burton","KC","0.2","2.1","0","0.5","0.2","0","","0","0","0","0","","0.3","0.3","10.7","0.2","0.2","0"
"127.9","J.D. McKissic","WAS","0.8","20.3","5.8","16.9","1.7","19","9.6","17.3","","7.9","6","22.6","","","","","",""
"4.3","Cam Akers","LA","","","","","","","","","","","","","","","","","","4.3"
"258.2","James Conner","ARZ","5.3","2.6","18.3","20.6","10.7","8.1","12.4","14.2","40.3","15.9","20.9","","19.1","33.5","9","","","27.3"
"9.7","Jonathan Ward","ARZ","","","","0","","1.4","0.7","","","","","","","0","2.5","0.3","3.6","1.2"
"17.7","Keith Smith","ATL","6.1","0.3","0","0.2","0","","1.6","0","0","0.5","2.9","3.6","1.2","0","0","0","0","1.3"
"0","Malcom Brown","JAX","","","","","","","","","","0","0","","0","","0","0","",""
"3","Nick Bawden","NYJ","","","","","","","","","","0","3","0","0","","0","0","0","0"
"123.4","Kenneth Gainwell","PHI","12.3","5.2","6.4","20.9","3.4","1.1","16.1","2.7","6.3","2.4","","6.2","19.7","","0","1.6","0.4","18.7"
"206.9","Javonte Williams","DEN","5.1","8.4","15.2","8.9","11.6","9.8","17.2","6.8","11.1","6.9","","20.1","29.8","21.3","12.1","10","4.2","8.4"
"38.6","Salvon Ahmed","MIA","4.8","1.7","0","3.3","4.1","4.7","7.2","3.8","0.6","2.5","","3.6","2.3","","","","",""
"0","Darius Bradwell","LAC","","","","","","","","","","","","0","","","","","",""
"9.2","Alex Armah","WAS","","0","0.5","0.2","0","","0.2","7.1","1.2","0","0","","","","0","","","0"
"144.2","Mike Davis","ATL","10.2","13.3","11","10.6","14.1","","1","11.6","2.8","1.8","5.1","7.1","16.9","13.6","2.1","4.5","12.7","5.8"
