"Ovr","Name","Team","W1","W2","W3","W4","W5","W6","W7","W8","W9","W10","W11","W12","W13","W14","W15","W16","W17","W18"
"61","Samaje Perine","CIN","52","85","64","56","18","","18","58","44","","40","61","37","33","44","65","64",""
"36","Chuba Hubbard","CAR","62","73","28","36","16","22","29","18","49","32","83","74","","29","51","80","20","20"
"160","Jacques Patrick","SF","","","","68","","","","","","","","","","","","","",""
"8","Antonio Gibson","WAS","21","30","17","20","13","39","34","36","","7","23","7","6","36","4","18","","6"
"84","Phillip Lindsay","MIA","37","28","76","106","65","38","67","75","58","","98","47","","","","52","68","59"
"159","John Kelly","CLV","","","","","","","64","","","","","","","","","","",""
"32","Devonta Freeman","BLT","","60","70","77","43","23","21","","11","30","9","37","10","22","60","27","33","52"
"102","Alec Ingold","LV","44","85","41","84","82","70","45","","43","64","","","","","","","",""
"151","Khari Blasingame","TEN","87","85","","84","82","70","75","","","","","74","","","79","80","83","72"
"163","Tremon Smith","HST","","","","","","","","","","","","","","","","82","",""
"168","J.J. Watt","ARZ","87","","","","","","","","","","","","","","","","",""
"136","Reggie Gilliam","BUF","87","82","82","65","82","70","","81","","77","63","78","","70","79","73","83","83"
"79","Dare Ogunbowale","JAX","","","82","78","60","","","61","63","77","","78","","54","70","15","23","33"
"154","Raheem Mostert","SF","66","","","","","","","","","","","","","","","","",""
"119","Marlon Mack","IND","","71","","53","45","64","70","81","","","","","","","","","",""
"128","JaQuan Hardy","DAL","","","","","","","","","","","","","","67","","","","32"
"45","Ty Johnson","NYJ","55","47","55","53","32","","20","10","16","30","56","47","49","27","","89","18","102"
"168","Cullen Gillaspia","NYG","","","82","","","","75","","75","","","","","","","","",""
"35","Devontae Booker","NYG","64","67","","61","15","24","17","14","13","","50","52","26","21","27","31","37","54"
"43","Jamaal Williams","DET","2","39","24","46","38","53","38","","","","68","20","28","","","37","25","46"
"153","Anthony McFarland Jr.","PIT","","","","","","","","80","","","","62","","","","","",""
"25","Myles Gaskin","MIA","23","33","30","78","2","47","9","35","8","42","10","12","34","","49","65","66","59"
"168","Giovanni Ricci","CAR","87","85","82","84","82","70","","81","75","77","83","78","","70","79","89","83","83"
"50","Kareem Hunt","CLV","16","41","2","16","7","25","","","","","","64","","48","","","",""
"7","Ezekiel Elliott","DAL","46","10","3","11","8","14","","27","29","10","17","15","35","35","10","11","52","25"
"168","Sutton Smith","LV","","","","","","","","","","","","78","71","70","79","89","83","83"
"10","Cordarrelle Patterson","ATL","36","4","19","1","16","","19","11","7","48","","4","21","17","57","33","36","66"
"142","Dwayne Washington","NO","","","","63","82","","","","","69","59","","","","","","",""
"148","Reggie Bonnafon","CAR","","","","","","","","","","","","","","","","52","",""
"95","James White","NE","25","9","73","","","","","","","","","","","","","","",""
"68","Jordan Howard","PHI","","","","","","","","13","18","36","36","","","","41","39","62",""
"12","Josh Jacobs","LV","12","","","30","21","19","15","","17","34","20","12","4","23","19","20","16","5"
"157","Devine Ozigbo","NE","","","","","82","","60","","","","","","","","","","",""
"132","Christian Wilkins","MIA","","","","","82","","","","","77","83","","","","37","89","","83"
"74","Jaret Patterson","WAS","76","","","61","72","60","75","51","","70","56","78","69","42","33","59","11","49"
"127","Deon Jackson","IND","","","","","","","","","","","67","","30","","","","83",""
"30","Saquon Barkley","NYG","54","31","9","2","76","","","","","","19","30","20","11","22","51","28","38"
"3","Najee Harris","PIT","46","8","1","6","11","5","","8","10","14","12","38","18","4","56","13","2","29"
"71","Giovani Bernard","TB","58","55","11","","30","52","51","29","","60","66","78","58","70","","","",""
"76","JaMycal Hasty","SF","34","26","","","","","44","49","51","","","","71","44","64","45","71","56"
"52","Rex Burkhead","HST","70","85","65","106","","70","75","22","69","","43","32","38","25","46","3","24","27"
"19","David Montgomery","CHI","8","23","39","5","","","","","33","","27","25","2","16","17","7","8","26"
"115","Michael Burton","KC","83","67","82","75","79","70","","81","75","77","83","","68","67","25","86","78","83"
"37","J.D. McKissic","WAS","77","7","46","14","68","13","29","15","","38","37","5","","","","","",""
"144","Cam Akers","LA","","","","","","","","","","","","","","","","","","58"
"5","James Conner","ARZ","48","61","14","8","33","35","22","20","1","17","7","","12","2","30","","","1"
"124","Jonathan Ward","ARZ","","","","84","","59","68","","","","","","","70","65","84","55","75"
"112","Keith Smith","ATL","45","80","82","80","82","","59","81","75","73","53","55","64","70","79","89","83","73"
"168","Malcom Brown","JAX","","","","","","","","","","77","83","","71","","79","89","",""
"151","Nick Bawden","NYJ","","","","","","","","","","77","50","78","71","","79","89","83","83"
"40","Kenneth Gainwell","PHI","24","46","42","7","57","66","14","62","42","56","","39","11","","79","77","76","11"
"17","Javonte Williams","DEN","49","34","21","37","29","29","10","45","26","40","","9","1","9","20","27","50","36"
"87","Salvon Ahmed","MIA","50","70","82","53","52","43","36","56","70","55","","55","56","","","","",""
"168","Darius Bradwell","LAC","","","","","","","","","","","","78","","","","","",""
"125","Alex Armah","WAS","","85","76","80","82","","72","44","67","77","83","","","","79","","","83"
"34","Mike Davis","ATL","32","18","27","32","26","","65","26","58","60","40","36","17","18","66","47","27","48"
"66","Jeremy McNichols","TEN","42","44","34","18","49","70","54","48","41","60","","","","58","32","62","73",""
"42","Rashaad Penny","SEA","77","","","","","","66","76","","","59","","33","3","42","9","1","4"
"61","Ronald Jones","TB","74","49","67","41","51","46","37","60","","77","23","28","64","65","29","12","54",""
"150","La'Mical Perine","NYJ","","","","","","","75","79","","","","","","50","","","",""
"47","Rhamondre Stevenson","NE","65","","","","63","19","","53","22","2","26","45","31","","53","","6","54"
"134","Ito Smith","DAL","","","","","","","","","","","","","","","","","","45"
"165","Jake Funk","LA","","85","73","","","","","","","","","","","","","103","83",""
"168","Paul Quessenberry","HST","","","","","","","","","","","","","","","","89","",""
"48","Nyheim Hines","IND","20","58","12","57","66","48","53","47","5","48","49","40","29","","34","64","41","61"
"82","Carlos Hyde","JAX","41","77","51","","72","70","","23","38","65","83","68","27","57","","","",""
"76","Jeff Wilson Jr.","SF","","","","","","","","","","54","32","67","71","38","3","16","83","83"
"57","D'Onta Foreman","TEN","","","","","","","","","56","27","42","21","","15","11","37","13","30"
"168","Matthew Adams","IND","","85","","","","","","","","","","","","","","","",""
"51","Zack Moss","BUF","","11","15","25","27","41","","25","50","32","73","","40","","","55","53","63"
