player,player_id,position,team_name,player_game_count,attempts,avoided_tackles,breakaway_attempts,breakaway_percent,breakaway_yards,declined_penalties,designed_yards,drops,elu_recv_mtf,elu_rush_mtf,elu_yco,elusive_rating,explosive,first_downs,franchise_id,fumbles,gap_attempts,grades_hands_fumble,grades_offense,grades_offense_penalty,grades_pass,grades_pass_block,grades_pass_route,grades_run,grades_run_block,longest,penalties,rec_yards,receptions,routes,run_plays,scramble_yards,scrambles,targets,total_touches,touchdowns,yards,yards_after_contact,yco_attempt,ypa,yprr,zone_attempts
Jalen Hurts,40291,QB,PHI,16,97,18,4,10.1,83,0,401,0,0,11,177,20.7,30,57,24,10,22,72.2,77.1,78.7,69.2,,60.0,86.9,60.0,31,3,0,0,1,428,422,51,1,97,10,823,326,2.2,5.6,0.0,43
Michael Carter,57337,HB,NYJ,14,147,39,5,26.0,166,0,639,5,15,39,495,99.4,13,29,22,1,55,76.3,71.0,20.3,,42.7,58.9,77.3,60.3,55,2,325,36,220,170,0,0,50,183,4,639,495,3.37,4.3,1.48,89
Devontae Booker,10770,HB,NYG,16,145,12,6,22.1,131,0,593,3,6,12,374,25.1,14,31,21,0,84,90.3,65.0,54.8,,48.9,67.0,66.5,41.3,31,1,268,40,253,180,0,0,45,185,2,593,374,2.58,4.1,1.06,53
Darrel Williams,13014,HB,KC,19,145,10,2,7.1,40,0,562,1,11,10,318,24.0,13,41,16,1,52,90.4,66.8,90.0,,40.4,66.0,66.8,68.8,21,1,452,47,353,173,0,0,55,192,6,562,318,2.19,3.9,1.28,91
Miles Sanders,40555,HB,PHI,13,144,21,11,34.3,264,0,770,1,11,21,414,53.2,21,34,24,1,54,75.2,70.2,48.0,,47.3,66.0,71.4,63.0,38,1,170,29,203,191,0,0,35,173,0,770,414,2.88,5.3,0.84,88
Rhamondre Stevenson,98689,HB,NE,13,141,32,5,14.1,89,0,633,1,7,32,444,77.2,20,35,19,2,105,57.1,81.1,81.4,,50.3,61.8,81.4,54.8,21,0,156,18,94,169,0,0,21,159,5,633,444,3.15,4.5,1.66,24
Josh Allen,46601,QB,BUF,19,84,42,7,14.6,131,0,398,0,0,22,230,71.7,33,62,4,9,35,64.9,90.9,72.4,81.9,,89.8,93.6,60.3,34,4,0,0,2,432,499,55,0,84,6,897,499,3.59,6.5,0.0,12
Mike Davis,9559,HB,ATL,17,138,23,3,10.3,52,1,503,3,21,23,357,62.5,11,21,2,4,35,29.5,56.1,88.6,,43.2,48.5,61.3,57.6,18,1,259,44,313,168,0,0,55,182,3,503,357,2.59,3.6,0.83,103
D'Onta Foreman,11844,HB,TEN,10,137,23,6,26.4,167,1,632,1,3,23,429,55.8,13,24,31,2,38,72.9,72.1,22.6,,60.7,76.6,69.9,49.1,45,1,123,9,66,155,0,0,10,146,3,632,429,3.13,4.6,1.86,98
Alexander Mattison,45817,HB,MIN,16,134,28,4,21.4,105,0,491,2,10,28,374,63.9,10,28,18,1,27,71.4,61.0,84.7,,54.6,61.3,61.5,41.8,48,0,228,32,196,148,0,0,38,166,3,491,374,2.79,3.7,1.16,105
Tony Pollard,27126,HB,DAL,16,134,27,9,30.4,223,1,733,3,9,27,478,73.4,17,35,9,2,56,63.8,86.0,86.9,,50.3,64.9,90.3,74.7,58,1,349,41,184,162,0,0,46,175,2,733,478,3.57,5.5,1.9,69
Lamar Jackson,46416,QB,BLT,12,83,28,3,6.8,52,0,373,0,0,15,182,39.6,24,48,3,6,66,48.6,70.2,34.3,65.9,,,75.8,60.0,31,5,0,0,0,313,394,50,0,83,2,767,387,2.91,5.8,,1
Devonta Freeman,8738,HB,BLT,16,133,21,7,27.6,159,0,576,0,7,21,300,37.8,11,31,3,0,71,90.2,68.2,56.2,,52.8,59.1,74.5,45.6,32,1,190,34,282,182,0,0,38,167,5,576,300,2.26,4.3,0.67,55
Clyde Edwards-Helaire,57279,HB,KC,12,132,19,5,14.7,90,0,613,0,6,19,326,40.4,12,25,16,2,33,55.4,65.6,13.8,,49.3,65.4,66.5,59.8,22,2,142,21,194,146,0,0,26,153,4,613,326,2.47,4.6,0.73,98
Chase Edmonds,45851,HB,ARZ,13,124,16,6,27.1,168,0,620,1,7,16,341,37.9,19,34,1,1,34,73.8,66.6,90.8,,51.7,60.1,71.7,44.9,54,0,311,43,269,166,0,0,52,167,2,620,341,2.75,5.0,1.16,80
Rex Burkhead,7971,HB,HST,16,122,17,3,17.8,76,0,427,0,1,17,330,33.1,7,30,13,1,78,72.3,65.4,86.2,60.0,45.3,75.7,60.6,70.5,36,0,186,25,189,131,0,0,31,147,3,427,330,2.7,3.5,0.98,39
Latavius Murray,7962,HB,BLT,14,119,12,4,22.2,111,1,501,2,0,12,381,29.8,9,37,3,0,60,89.3,65.5,43.3,,48.5,44.5,72.8,68.7,46,2,75,10,154,172,0,0,13,129,6,501,381,3.2,4.2,0.49,58
Rashaad Penny,27414,HB,SEA,10,119,27,13,52.3,392,0,749,1,4,27,538,112.1,19,28,29,0,40,89.3,80.5,25.1,,71.0,49.5,83.7,60.2,62,1,48,6,98,133,0,0,7,125,6,749,538,4.52,6.3,0.49,78
Alex Collins,10805,HB,SEA,11,108,16,2,11.2,46,0,411,0,3,16,265,39.8,9,22,29,1,19,67.1,66.0,26.2,,69.0,50.1,70.6,42.8,25,1,87,9,107,120,0,0,9,117,2,411,265,2.45,3.8,0.81,88
Khalil Herbert,41668,HB,CHI,16,103,18,4,22.2,96,0,433,2,5,18,291,55.5,9,24,6,0,13,73.0,78.8,85.2,,61.5,54.6,84.4,63.9,29,1,96,14,141,126,0,0,16,117,2,433,291,2.83,4.2,0.68,86
Ronald Jones,34001,HB,TB,16,101,13,3,15.2,65,0,428,1,2,13,256,34.3,8,25,30,2,75,45.0,62.3,20.0,,12.4,55.3,67.6,60.0,30,1,64,10,92,109,0,0,12,111,4,428,256,2.53,4.2,0.7,23
D'Ernest Johnson,45734,HB,CLV,15,100,26,6,24.3,130,0,534,4,8,26,347,99.1,16,24,8,1,54,69.3,81.4,38.5,,80.1,42.7,90.6,61.0,30,1,137,19,152,124,0,0,24,119,3,534,347,3.47,5.3,0.9,38
Christian McCaffrey,11763,HB,CAR,7,99,16,6,21.3,94,0,442,0,8,16,297,52.9,15,19,5,1,45,70.4,80.6,84.7,,56.8,92.8,69.7,58.5,18,0,343,37,118,125,0,0,40,136,1,442,297,3.0,4.5,2.91,53
Zack Moss,40341,HB,BUF,14,97,18,1,4.9,17,0,345,2,5,18,226,44.7,5,22,4,2,39,46.8,66.8,86.0,,36.6,51.6,75.4,53.8,17,0,197,23,178,152,0,0,31,120,4,345,226,2.33,3.6,1.11,48
Kyler Murray,38334,QB,ARZ,15,59,3,3,20.7,89,0,198,0,0,2,46,2.6,14,26,1,13,4,49.0,82.9,55.8,86.7,,,49.2,61.4,57,4,7,0,0,376,231,31,0,59,5,429,89,0.99,4.8,,28
Phillip Lindsay,12660,HB,MIA,14,88,6,1,14.1,35,0,249,1,1,6,188,16.3,2,12,17,0,54,87.5,53.9,81.0,,36.5,52.7,56.6,44.5,35,0,45,4,42,100,0,0,5,92,1,249,188,2.14,2.8,1.07,32
