Rank,Name,Team,ByeWeek,Age,Position,PositionRank,AverageDraftPositionDynasty
1,Jonathan Taylor,IND,14,23,RB,RB1,1.4
2,Najee Harris,PIT,9,24,RB,RB2,4.1
3,Christian McCaffrey,CAR,13,26,RB,RB3,5
4,D'Andre Swift,DET,6,23,RB,RB4,5.3
5,Javonte Williams,DEN,9,22,RB,RB5,6.1
6,Austin Ekeler,LAC,8,27,RB,RB6,11
7,Joe Mixon,CIN,10,26,RB,RB7,11.1
8,Breece Hall,NYJ,10,21,RB,RB8,12.1
9,Dalvin Cook,MIN,7,27,RB,RB9,15.8
10,Nick Chubb,CLE,9,26,RB,RB10,20.9
11,Alvin Kamara,NO,14,27,RB,RB11,21.1
12,Derrick Henry,TEN,6,28,RB,RB12,22.6
13,Antonio Gibson,WAS,14,24,RB,RB13,26
14,Saquon Barkley,NYG,9,25,RB,RB14,27.2
15,J.K. Dobbins,BAL,10,23,RB,RB15,28.1
16,Cam Akers,LAR,7,23,RB,RB16,29.6
17,Travis Etienne Jr.,JAX,11,23,RB,RB17,35.5
18,Kenneth Walker III,SEA,11,22,RB,RB18,39.1
19,David Montgomery,CHI,14,25,RB,RB19,41.3
20,Aaron Jones,GB,14,28,RB,RB20,45.1
21,Josh Jacobs,LV,6,24,RB,RB21,49.4
22,Leonard Fournette,TB,11,27,RB,RB22,49.9
23,A.J. Dillon,GB,14,24,RB,RB23,51.7
24,Elijah Mitchell,SF,9,24,RB,RB24,53.9
25,Ezekiel Elliott,DAL,9,27,RB,RB25,59.5
26,James Conner,ARI,13,27,RB,RB26,63.3
27,Miles Sanders,PHI,7,25,RB,RB27,72.2
28,Clyde Edwards-Helaire,KC,8,23,RB,RB28,73.6
29,Damien Harris,NE,10,25,RB,RB29,75.3
30,Tony Pollard,DAL,9,25,RB,RB30,77.4
31,Kareem Hunt,CLE,9,27,RB,RB31,78.7
32,James Cook,BUF,7,23,RB,RB32,82
33,Michael Carter,NYJ,10,23,RB,RB33,91
34,Rhamondre Stevenson,NE,10,24,RB,RB34,91.7
35,Chase Edmonds,MIA,11,26,RB,RB35,92.3
36,Devin Singletary,BUF,7,25,RB,RB36,98.5
37,Rashaad Penny,SEA,11,26,RB,RB37,101
38,Rachaad White,TB,11,23,RB,RB38,104.7
39,James Robinson,JAX,11,24,RB,RB39,106.6
40,Melvin Gordon III,DEN,9,29,RB,RB40,110.5
41,Isaiah Spiller,LAC,8,21,RB,RB41,111.3
42,Alexander Mattison,MIN,7,24,RB,RB42,114.8
43,Dameon Pierce,HOU,6,22,RB,RB43,115.5
44,Cordarrelle Patterson,ATL,14,31,RB,RB44,116.5
45,Kenneth Gainwell,PHI,7,23,RB,RB45,117.8
46,Darrell Henderson Jr.,LAR,7,25,RB,RB46,120.3
47,Ronald Jones,KC,8,25,RB,RB47,125.3
48,Marlon Mack,HOU,6,26,RB,RB48,131
49,Nyheim Hines,IND,14,26,RB,RB49,135.2
50,Isiah Pacheco,KC,8,23,RB,RB50,135.4
51,Zamir White,LV,6,23,RB,RB51,135.7
52,Brian Robinson Jr.,WAS,14,23,RB,RB52,135.9
53,J.D. McKissic,WAS,14,29,RB,RB53,138
54,Tyler Allgeier,ATL,14,22,RB,RB54,140.3
55,Damien Williams,ATL,14,30,RB,RB55,143.6
56,Zack Moss,BUF,7,24,RB,RB56,148
57,Hassan Haskins,TEN,6,23,RB,RB57,153.5
58,D'Ernest Johnson,CLE,9,26,RB,RB58,157.5
59,Mark Ingram II,NO,14,32,RB,RB59,157.6
60,D'Onta Foreman,CAR,13,26,RB,RB60,158
60,Myles Gaskin,MIA,11,25,RB,RB61,158
62,Raheem Mostert,MIA,11,30,RB,RB62,158.8
63,Darrel Williams,ARI,13,27,RB,RB63,161
64,Chuba Hubbard,CAR,13,23,RB,RB64,161.2
65,Jamaal Williams,DET,6,27,RB,RB65,161.6
66,Trey Sermon,PHI,7,23,RB,RB66,163.1
67,Sony Michel,LAC,8,27,RB,RB67,169
68,Boston Scott,PHI,7,27,RB,RB68,174.5
