Team,OLRank
ARZ,25
ATL,28
BLT,17
BUF,20
CAR,24
CHI,31
CIN,8
CLV,2
DAL,6
DEN,16
DET,3
GB,5
HST,22
IND,10
JAX,26
KC,9
LV,29
LAC,12
LA,11
MIA,23
MIN,19
NE,7
NO,21
NYG,18
NYJ,13
PHI,1
PIT,30
SF,14
SEA,32
TB,4
TEN,27
WAS,15
